Disease,Category,Common Symptoms,Orthodox (Conventional) Treatment,Herbal / Traditional Remedies (commonly referenced),Notes
Malaria (P. falciparum),Vector-borne,"Fever, chills, headache, sweating, body aches, fatigue, nausea",Artemisinin-based combination therapy (ACT) e.g. artemether-lumefantrine; IV artesunate for severe cases,Neem (Azadirachta indica) leaf decoction; Cryptolepis sanguinolenta (Yellow dye root); Artemisia annua tea,Confirm with RDT/microscopy before treatment; herbal use should not delay orthodox treatment
Malaria (P. vivax/ovale/malariae),Vector-borne,"Cyclical fever, chills, sweating, fatigue, splenomegaly","Chloroquine or ACT plus primaquine (for relapse prevention, G6PD test first)","Neem leaf, bitter leaf (Vernonia amygdalina) decoction",
Severe/Cerebral Malaria,Vector-borne,"Seizures, coma, confusion, high fever, jaundice","IV artesunate, supportive care, ICU management",Not recommended - medical emergency,Emergency; herbal remedies are not appropriate
Yellow Fever,Vector-borne (viral),"Fever, jaundice, muscle pain, headache, vomiting, bleeding","Supportive care (fluids, antipyretics); vaccination is primary prevention",Ginger and lemongrass tea for symptom relief only,Vaccine-preventable; no specific antiviral
Dengue Fever,Vector-borne (viral),"High fever, severe headache, joint/muscle pain, rash, retro-orbital pain","Supportive care, paracetamol (avoid NSAIDs/aspirin), fluid management","Papaya leaf juice (traditional, evidence limited)",Watch for warning signs of severe dengue
Chikungunya,Vector-borne (viral),"Sudden fever, severe joint pain, rash, headache","Supportive care, analgesics (paracetamol), rest","Ginger tea, turmeric for anti-inflammatory support",
Zika Virus Disease,Vector-borne (viral),"Mild fever, rash, conjunctivitis, joint pain",Supportive care; avoid NSAIDs until dengue excluded,Fluid-rich herbal teas for symptomatic relief,Pregnant women should seek prompt medical care
Onchocerciasis (River Blindness),Vector-borne (parasitic),"Itchy skin nodules, skin depigmentation, visual impairment",Ivermectin (annual/biannual mass drug administration),Not a substitute for ivermectin,
Lymphatic Filariasis (Elephantiasis),Vector-borne (parasitic),"Limb/scrotal swelling, skin thickening, fever during acute attacks",Diethylcarbamazine (DEC) + albendazole; hygiene/limb care,"Warm compresses, local plant-based poultices for comfort",
African Trypanosomiasis (Sleeping Sickness),Vector-borne (parasitic),"Fever, headache, joint pain, sleep disturbance, confusion (late stage)","Pentamidine, suramin, or fexinidazole depending on stage",Not recommended - requires specialist treatment,Requires laboratory diagnosis and specialist care
Typhoid Fever,Bacterial,"Prolonged fever, abdominal pain, headache, rose spots, constipation/diarrhea","Ciprofloxacin, ceftriaxone, or azithromycin depending on resistance patterns","Guava leaf tea, bitter kola (Garcinia kola) for symptomatic support",Confirm with blood/stool culture; complete full antibiotic course
Cholera,Bacterial,"Profuse watery diarrhea, vomiting, rapid dehydration",Oral rehydration salts (ORS); IV fluids for severe cases; doxycycline/azithromycin,Coconut water for oral rehydration support,"Rehydration is the priority, more urgent than antibiotics"
Bacterial Dysentery (Shigellosis),Bacterial,"Bloody diarrhea, abdominal cramps, fever, tenesmus",Ciprofloxacin or azithromycin; ORS for dehydration,"Guava leaf decoction (astringent, traditional use)",
